nohup: ignoring input
📂 開始加載與掃描數據 (mmap 安全模式)...
📂 找到 37 個真實 NPY Chunk 目錄
  快速掃描 chunk 0: chunk_000... ✅ 20000 條軌跡
  快速掃描 chunk 1: chunk_001... ✅ 20000 條軌跡
  快速掃描 chunk 2: chunk_002... ✅ 20000 條軌跡
  快速掃描 chunk 3: chunk_003... ✅ 20000 條軌跡
  快速掃描 chunk 4: chunk_004... ✅ 20000 條軌跡
  快速掃描 chunk 5: chunk_005... ✅ 20000 條軌跡
  快速掃描 chunk 6: chunk_006... ✅ 20000 條軌跡
  快速掃描 chunk 7: chunk_007... ✅ 20000 條軌跡
  快速掃描 chunk 8: chunk_008... ✅ 20000 條軌跡
  快速掃描 chunk 9: chunk_009... ✅ 20000 條軌跡
  快速掃描 chunk 10: chunk_010... ✅ 20000 條軌跡
  快速掃描 chunk 11: chunk_011... ✅ 20000 條軌跡
  快速掃描 chunk 12: chunk_012... ✅ 20000 條軌跡
  快速掃描 chunk 13: chunk_013... ✅ 20000 條軌跡
  快速掃描 chunk 14: chunk_014... ✅ 20000 條軌跡
  快速掃描 chunk 15: chunk_015... ✅ 20000 條軌跡
  快速掃描 chunk 16: chunk_016... ✅ 20000 條軌跡
  快速掃描 chunk 17: chunk_017... ✅ 20000 條軌跡
  快速掃描 chunk 18: chunk_018... ✅ 20000 條軌跡
  快速掃描 chunk 19: chunk_019... ✅ 20000 條軌跡
  快速掃描 chunk 20: chunk_020... ✅ 20000 條軌跡
  快速掃描 chunk 21: chunk_021... ✅ 20000 條軌跡
  快速掃描 chunk 22: chunk_022... ✅ 20000 條軌跡
  快速掃描 chunk 23: chunk_023... ✅ 20000 條軌跡
  快速掃描 chunk 24: chunk_024... ✅ 20000 條軌跡
  快速掃描 chunk 25: chunk_025... ✅ 20000 條軌跡
  快速掃描 chunk 26: chunk_026... ✅ 20000 條軌跡
  快速掃描 chunk 27: chunk_027... ✅ 20000 條軌跡
  快速掃描 chunk 28: chunk_028... ✅ 20000 條軌跡
  快速掃描 chunk 29: chunk_029... ✅ 20000 條軌跡
  快速掃描 chunk 30: chunk_030... ✅ 20000 條軌跡
  快速掃描 chunk 31: chunk_031... ✅ 20000 條軌跡
  快速掃描 chunk 32: chunk_032... ✅ 20000 條軌跡
  快速掃描 chunk 33: chunk_033... ✅ 20000 條軌跡
  快速掃描 chunk 34: chunk_034... ✅ 20000 條軌跡
  快速掃描 chunk 35: chunk_035... ✅ 20000 條軌跡
  快速掃描 chunk 36: chunk_036... ✅ 17696 條軌跡

✅ 總共 737696 條軌跡，跨 37 個 NPY Chunk 目錄

🚀 數據加載與 Dataloader 建立完成
   訓練樣本: 590157
   驗證樣本: 147539

模型參數數量: 9,215,514


======================================================================
開始BC訓練 | 設備: cuda | 時間: 2026-06-02 11:21:34
======================================================================

  Epoch 1/100 | Batch 1/2306 | Loss: 3.5850 | Acc: 0.0056
  Epoch 1/100 | Batch 10/2306 | Loss: 2.8105 | Acc: 0.0309
  Epoch 1/100 | Batch 20/2306 | Loss: 2.6875 | Acc: 0.0369
  Epoch 1/100 | Batch 30/2306 | Loss: 2.5981 | Acc: 0.0419
  Epoch 1/100 | Batch 40/2306 | Loss: 2.5514 | Acc: 0.0467
  Epoch 1/100 | Batch 50/2306 | Loss: 2.5188 | Acc: 0.0572
  Epoch 1/100 | Batch 60/2306 | Loss: 2.4603 | Acc: 0.0771
  Epoch 1/100 | Batch 70/2306 | Loss: 2.4051 | Acc: 0.0931
  Epoch 1/100 | Batch 80/2306 | Loss: 2.3771 | Acc: 0.0963
  Epoch 1/100 | Batch 90/2306 | Loss: 2.2930 | Acc: 0.1359
  Epoch 1/100 | Batch 100/2306 | Loss: 2.2174 | Acc: 0.1686
  Epoch 1/100 | Batch 110/2306 | Loss: 2.1608 | Acc: 0.2024
  Epoch 1/100 | Batch 120/2306 | Loss: 2.0996 | Acc: 0.2241
  Epoch 1/100 | Batch 130/2306 | Loss: 2.0691 | Acc: 0.2299
  Epoch 1/100 | Batch 140/2306 | Loss: 2.0103 | Acc: 0.2595
  Epoch 1/100 | Batch 150/2306 | Loss: 1.9685 | Acc: 0.2765
  Epoch 1/100 | Batch 160/2306 | Loss: 1.9399 | Acc: 0.2836
  Epoch 1/100 | Batch 170/2306 | Loss: 1.8669 | Acc: 0.3077
  Epoch 1/100 | Batch 180/2306 | Loss: 1.8427 | Acc: 0.3217
  Epoch 1/100 | Batch 190/2306 | Loss: 1.7719 | Acc: 0.3425
  Epoch 1/100 | Batch 200/2306 | Loss: 1.7620 | Acc: 0.3461
  Epoch 1/100 | Batch 210/2306 | Loss: 1.7318 | Acc: 0.3504
  Epoch 1/100 | Batch 220/2306 | Loss: 1.7147 | Acc: 0.3594
  Epoch 1/100 | Batch 230/2306 | Loss: 1.6879 | Acc: 0.3656
  Epoch 1/100 | Batch 240/2306 | Loss: 1.6810 | Acc: 0.3620
  Epoch 1/100 | Batch 250/2306 | Loss: 1.6679 | Acc: 0.3699
  Epoch 1/100 | Batch 260/2306 | Loss: 1.6482 | Acc: 0.3775
  Epoch 1/100 | Batch 270/2306 | Loss: 1.6512 | Acc: 0.3750
  Epoch 1/100 | Batch 280/2306 | Loss: 1.6267 | Acc: 0.3783
  Epoch 1/100 | Batch 290/2306 | Loss: 1.6399 | Acc: 0.3739
  Epoch 1/100 | Batch 300/2306 | Loss: 1.6340 | Acc: 0.3752
  Epoch 1/100 | Batch 310/2306 | Loss: 1.6244 | Acc: 0.3807
  Epoch 1/100 | Batch 320/2306 | Loss: 1.6145 | Acc: 0.3861
  Epoch 1/100 | Batch 330/2306 | Loss: 1.6196 | Acc: 0.3795
  Epoch 1/100 | Batch 340/2306 | Loss: 1.6261 | Acc: 0.3700
